g,velocity,noise,a,b,M1_pred,M2_pred,M3_pred,M1_sim,M2_sim,M3_sim
4.967785534737978,7.00644781498309,1.977594214901536,0.12576852639519467,0.030510018573739084,0.48366590262402637,0.3165206693594922,14.835992808533796,0.5905031550146681,0.37431420804984555,13.093646847489477
0.11537176452762452,8.807210325539558,1.9665115918304414,0.1033165284973017,0.030609230974971764,0.226053057736002,0.14970051670831136,16.424538595083803,0.21342191618983067,0.14019461953288867,16.108884674530596
4.73739247740678,8.169297260769628,1.9724312282998333,0.12509396248814758,0.030509033262874945,0.48334063888654777,0.3165784567008722,14.844162904858509,0.5935178879060832,0.37595819322251606,13.829220473546474
0.5462120336664538,15.330191617358189,1.9778571842422952,0.12623458852716843,0.03483144776372142,0.2471994743648886,0.1571218898757859,15.40011106784379,0.23404299257462546,0.15443588490581606,17.36382958275173
4.968213260930743,14.745335922777176,1.9797204869884133,0.12511808234883304,0.030656477454347693,0.4769493359031279,0.3122795543068497,14.965041034488635,0.6064407583238514,0.38984144595959397,14.45737669320117
0.2173258694090068,8.17649559081261,1.9664587707996062,0.12531666911911016,0.031714391090978226,0.23815930007518535,0.1571983731036247,15.969517242962501,0.2439748530534687,0.1604506568688658,16.74473791302619
4.822924401425652,15.32362056636365,1.9719441123945904,0.12509396248814758,0.030509033262874945,0.47609356028952954,0.31241181210138413,14.949614923301128,0.5823876077719495,0.36431512268966415,14.80009311573272
0.3497336383980969,15.330191617358189,1.974803789170899,0.12623458852716843,0.03496303892026595,0.24225537405208974,0.15437473448736513,15.83027557427564,0.22096321809986444,0.1408584874762461,17.11296921910706
0.10211326794617737,8.813075532070778,1.9490361976360788,0.1363515086471417,0.026252384965701047,0.22816393710323038,0.15388438951475217,16.215387309870813,0.2270558406487871,0.14794084113600278,14.672941264657227
0.3440228632435772,15.388430781236043,0.5288225049615439,0.1244352316163178,0.030176944161447627,0.2410387484723211,0.15718282268711134,15.9798556069401,0.21131901342467313,0.13323463698227211,19.423067694205155
